time = 2.78, epoch = 1, iter = 32, loss = 7.60
time = 2.60, epoch = 2, iter = 896, loss = 1.45
time = 2.31, epoch = 2, iter = 928, loss = 1.46
time = 2.17, epoch = 2, iter = 960, loss = 1.40
time = 2.17, epoch = 2, iter = 992, loss = 1.42
time = 2.20, epoch = 2, iter = 1024, loss = 1.38
time = 2.36, epoch = 2, iter = 1056, loss = 1.43
time = 2.36, epoch = 2, iter = 1088, loss = 1.42
time = 2.45, epoch = 2, iter = 1120, loss = 1.43
time = 2.27, epoch = 2, iter = 1152, loss = 1.40
time = 2.56, epoch = 2, iter = 1184, loss = 1.38
time = 2.36, epoch = 2, iter = 1216, loss = 1.40
time = 2.33, epoch = 2, iter = 1248, loss = 1.38
time = 2.27, epoch = 2, iter = 1280, loss = 1.38
time = 2.35, epoch = 2, iter = 1312, loss = 1.35
time = 2.19, epoch = 2, iter = 1344, loss = 1.37
time = 2.32, epoch = 2, iter = 1376, loss = 1.38
time = 2.09, epoch = 2, iter = 1408, loss = 1.36
time = 2.19, epoch = 2, iter = 1440, loss = 1.37
time = 2.21, epoch = 2, iter = 1472, loss = 1.40
time = 2.48, epoch = 2, iter = 1504, loss = 1.42
time = 2.21, epoch = 2, iter = 1536, loss = 1.32
time = 2.19, epoch = 2, iter = 1568, loss = 1.37
time = 2.17, epoch = 2, iter = 1600, loss = 1.33
time = 2.14, epoch = 2, iter = 1632, loss = 1.35
time = 2.14, epoch = 2, iter = 1664, loss = 1.37
time = 2.35, epoch = 2, iter = 1696, loss = 1.33
time = 2.39, epoch = 2, iter = 1728, loss = 1.33
time = 2.24, epoch = 2, iter = 1760, loss = 1.34
time = 2.14, epoch = 2, iter = 1792, loss = 1.29
time = 1.92, epoch = 2, iter = 1824, loss = 1.32
time = 2.32, epoch = 2, iter = 1856, loss = 1.32
time = 2.34, epoch = 2, iter = 1888, loss = 1.40
time = 2.65, epoch = 2, iter = 1920, loss = 1.32
time = 2.36, epoch = 2, iter = 1952, loss = 1.30
time = 2.31, epoch = 2, iter = 1984, loss = 1.30
time = 2.32, epoch = 2, iter = 2016, loss = 1.30
time = 2.29, epoch = 2, iter = 2048, loss = 1.27
time = 2.54, epoch = 2, iter = 2080, loss = 1.22
time = 2.39, epoch = 2, iter = 2112, loss = 1.31
time = 2.43, epoch = 2, iter = 2144, loss = 1.26
time = 2.33, epoch = 2, iter = 2176, loss = 1.26
time = 2.23, epoch = 2, iter = 2208, loss = 1.22
time = 2.08, epoch = 2, iter = 2240, loss = 1.21
time = 2.31, epoch = 2, iter = 2272, loss = 1.30
time = 2.22, epoch = 2, iter = 2304, loss = 1.27
time = 2.08, epoch = 2, iter = 2336, loss = 1.29
time = 2.36, epoch = 2, iter = 2368, loss = 1.29
time = 2.42, epoch = 2, iter = 2400, loss = 1.23
time = 2.54, epoch = 2, iter = 2432, loss = 1.25
time = 2.44, epoch = 2, iter = 2464, loss = 1.25
time = 2.33, epoch = 2, iter = 2496, loss = 1.27
time = 2.27, epoch = 2, iter = 2528, loss = 1.25
time = 2.11, epoch = 2, iter = 2560, loss = 1.28
time = 2.22, epoch = 2, iter = 2592, loss = 1.28
time = 2.24, epoch = 2, iter = 2624, loss = 1.25
time = 2.05, epoch = 2, iter = 2656, loss = 1.19
time = 1.75, epoch = 2, iter = 2688, loss = 1.22
time = 1.88, epoch = 2, iter = 2720, loss = 1.24
time = 2.07, epoch = 2, iter = 2752, loss = 1.25
time = 2.13, epoch = 2, iter = 2784, loss = 1.24
time = 2.02, epoch = 2, iter = 2816, loss = 1.24
time = 1.99, epoch = 2, iter = 2848, loss = 1.21
time = 2.11, epoch = 2, iter = 2880, loss = 1.17
time = 1.97, epoch = 2, iter = 2912, loss = 1.14
time = 2.17, epoch = 2, iter = 2944, loss = 1.18
time = 2.30, epoch = 2, iter = 2976, loss = 1.19
time = 2.23, epoch = 2, iter = 3008, loss = 1.16
time = 2.18, epoch = 2, iter = 3040, loss = 1.16
time = 2.43, epoch = 2, iter = 3072, loss = 1.17
time = 2.19, epoch = 2, iter = 3104, loss = 1.15
time = 2.17, epoch = 2, iter = 3136, loss = 1.15
time = 2.11, epoch = 2, iter = 3168, loss = 1.19
time = 2.04, epoch = 2, iter = 3200, loss = 1.14
time = 2.34, epoch = 2, iter = 3232, loss = 1.16
time = 2.23, epoch = 2, iter = 3264, loss = 1.18
time = 2.24, epoch = 2, iter = 3296, loss = 1.18
time = 1.96, epoch = 2, iter = 3328, loss = 1.13
time = 2.22, epoch = 2, iter = 3360, loss = 1.24
time = 2.00, epoch = 2, iter = 3392, loss = 1.19
time = 2.24, epoch = 2, iter = 3424, loss = 1.08
time = 2.19, epoch = 2, iter = 3456, loss = 1.14
time = 2.28, epoch = 2, iter = 3488, loss = 1.14
time = 1.99, epoch = 2, iter = 3520, loss = 1.12
time = 2.23, epoch = 2, iter = 3552, loss = 1.19
time = 2.22, epoch = 2, iter = 3584, loss = 1.13
time = 2.28, epoch = 2, iter = 3616, loss = 1.16
time = 2.25, epoch = 2, iter = 3648, loss = 1.17
time = 2.29, epoch = 2, iter = 3680, loss = 1.15
time = 2.31, epoch = 2, iter = 3712, loss = 1.14
time = 2.15, epoch = 2, iter = 3744, loss = 1.13
time = 2.18, epoch = 2, iter = 3776, loss = 1.13
time = 2.09, epoch = 2, iter = 3808, loss = 1.09
time = 2.38, epoch = 2, iter = 3840, loss = 1.13
time = 2.37, epoch = 2, iter = 3872, loss = 1.13
time = 2.25, epoch = 2, iter = 3904, loss = 1.08
time = 2.11, epoch = 2, iter = 3936, loss = 1.11
time = 2.21, epoch = 2, iter = 3968, loss = 1.13
time = 2.17, epoch = 2, iter = 4000, loss = 1.11
time = 2.21, epoch = 2, iter = 4032, loss = 1.06
time = 2.23, epoch = 2, iter = 4064, loss = 1.09
time = 2.05, epoch = 2, iter = 4096, loss = 1.12
time = 2.12, epoch = 2, iter = 4128, loss = 1.15
time = 2.12, epoch = 2, iter = 4160, loss = 1.10
time = 1.95, epoch = 2, iter = 4192, loss = 1.06
time = 2.17, epoch = 2, iter = 4224, loss = 1.12
time = 2.03, epoch = 2, iter = 4256, loss = 1.08
time = 1.99, epoch = 2, iter = 4288, loss = 1.10
time = 2.06, epoch = 2, iter = 4320, loss = 1.08
time = 1.91, epoch = 2, iter = 4352, loss = 1.07
time = 2.09, epoch = 2, iter = 4384, loss = 1.09
time = 1.99, epoch = 2, iter = 4416, loss = 1.07
time = 2.17, epoch = 2, iter = 4448, loss = 1.08
time = 2.11, epoch = 2, iter = 4480, loss = 1.09
time = 2.01, epoch = 2, iter = 4512, loss = 1.05
time = 2.11, epoch = 2, iter = 4544, loss = 1.07
time = 2.05, epoch = 2, iter = 4576, loss = 1.10
time = 2.09, epoch = 2, iter = 4608, loss = 1.09
time = 2.09, epoch = 2, iter = 4640, loss = 1.05
time = 2.06, epoch = 2, iter = 4672, loss = 1.07
time = 2.01, epoch = 2, iter = 4704, loss = 1.06
time = 2.05, epoch = 2, iter = 4736, loss = 1.03
time = 2.03, epoch = 2, iter = 4768, loss = 1.04
time = 2.03, epoch = 2, iter = 4800, loss = 1.04
time = 2.02, epoch = 2, iter = 4832, loss = 1.05
time = 2.65, epoch = 3, iter = 32, loss = 1.06
time = 2.02, epoch = 3, iter = 64, loss = 1.07
time = 2.03, epoch = 3, iter = 96, loss = 0.99
time = 2.11, epoch = 3, iter = 128, loss = 1.04
time = 2.04, epoch = 3, iter = 160, loss = 0.97
time = 2.04, epoch = 3, iter = 192, loss = 1.00
time = 2.07, epoch = 3, iter = 224, loss = 1.01
time = 2.09, epoch = 3, iter = 256, loss = 1.08
time = 1.96, epoch = 3, iter = 288, loss = 1.01
time = 1.91, epoch = 3, iter = 320, loss = 1.03
time = 2.00, epoch = 3, iter = 352, loss = 1.01
time = 2.07, epoch = 3, iter = 384, loss = 1.01
time = 2.17, epoch = 3, iter = 416, loss = 1.04
time = 2.04, epoch = 3, iter = 448, loss = 1.00
time = 2.11, epoch = 3, iter = 480, loss = 1.01
time = 2.20, epoch = 3, iter = 512, loss = 1.02
time = 2.20, epoch = 3, iter = 544, loss = 1.01
time = 2.11, epoch = 3, iter = 576, loss = 0.99
time = 2.00, epoch = 3, iter = 608, loss = 0.96
time = 2.06, epoch = 3, iter = 640, loss = 1.03
time = 2.07, epoch = 3, iter = 672, loss = 0.98
time = 2.02, epoch = 3, iter = 704, loss = 1.04
time = 2.11, epoch = 3, iter = 736, loss = 0.99
time = 1.99, epoch = 3, iter = 768, loss = 1.05
time = 2.10, epoch = 3, iter = 800, loss = 0.98
time = 2.13, epoch = 3, iter = 832, loss = 0.99
time = 2.02, epoch = 3, iter = 864, loss = 1.01
time = 2.06, epoch = 3, iter = 896, loss = 1.00
time = 2.07, epoch = 3, iter = 928, loss = 1.00
time = 2.04, epoch = 3, iter = 960, loss = 0.98
time = 2.11, epoch = 3, iter = 992, loss = 1.03
time = 2.12, epoch = 3, iter = 1024, loss = 0.98
time = 2.06, epoch = 3, iter = 1056, loss = 0.99
time = 2.14, epoch = 3, iter = 1088, loss = 1.01
time = 2.01, epoch = 3, iter = 1120, loss = 0.93
time = 1.99, epoch = 3, iter = 1152, loss = 0.99
time = 2.07, epoch = 3, iter = 1184, loss = 0.96
time = 2.09, epoch = 3, iter = 1216, loss = 0.96
time = 1.99, epoch = 3, iter = 1248, loss = 0.98
time = 2.10, epoch = 3, iter = 1280, loss = 0.96
time = 2.04, epoch = 3, iter = 1312, loss = 0.99
time = 2.10, epoch = 3, iter = 1344, loss = 1.00
time = 2.04, epoch = 3, iter = 1376, loss = 1.00
time = 2.11, epoch = 3, iter = 1408, loss = 0.98
time = 2.02, epoch = 3, iter = 1440, loss = 0.97
time = 2.08, epoch = 3, iter = 1472, loss = 1.00
time = 2.01, epoch = 3, iter = 1504, loss = 1.01
time = 2.02, epoch = 3, iter = 1536, loss = 0.94
time = 2.09, epoch = 3, iter = 1568, loss = 0.98
time = 2.01, epoch = 3, iter = 1600, loss = 0.96
time = 1.98, epoch = 3, iter = 1632, loss = 0.97
time = 2.02, epoch = 3, iter = 1664, loss = 0.98
time = 2.04, epoch = 3, iter = 1696, loss = 0.99
time = 2.02, epoch = 3, iter = 1728, loss = 0.94
time = 1.99, epoch = 3, iter = 1760, loss = 0.93
time = 2.11, epoch = 3, iter = 1792, loss = 0.93
time = 2.25, epoch = 3, iter = 1824, loss = 0.98
time = 1.93, epoch = 3, iter = 1856, loss = 0.92
time = 2.09, epoch = 3, iter = 1888, loss = 1.00
time = 2.13, epoch = 3, iter = 1920, loss = 0.96
time = 2.01, epoch = 3, iter = 1952, loss = 0.91
time = 1.95, epoch = 3, iter = 1984, loss = 0.91
time = 1.98, epoch = 3, iter = 2016, loss = 0.94
time = 2.18, epoch = 3, iter = 2048, loss = 0.94
time = 1.99, epoch = 3, iter = 2080, loss = 0.90
time = 2.06, epoch = 3, iter = 2112, loss = 0.91
time = 2.09, epoch = 3, iter = 2144, loss = 0.97
time = 2.06, epoch = 3, iter = 2176, loss = 0.95
time = 2.06, epoch = 3, iter = 2208, loss = 1.02
time = 2.07, epoch = 3, iter = 2240, loss = 0.97
time = 2.04, epoch = 3, iter = 2272, loss = 0.92
time = 2.01, epoch = 3, iter = 2304, loss = 0.96
time = 2.00, epoch = 3, iter = 2336, loss = 0.96
time = 2.02, epoch = 3, iter = 2368, loss = 0.95
time = 2.07, epoch = 3, iter = 2400, loss = 0.96
time = 2.00, epoch = 3, iter = 2432, loss = 0.91
time = 1.97, epoch = 3, iter = 2464, loss = 0.87
time = 2.08, epoch = 3, iter = 2496, loss = 0.95
time = 2.00, epoch = 3, iter = 2528, loss = 0.90
time = 2.02, epoch = 3, iter = 2560, loss = 0.87
time = 2.11, epoch = 3, iter = 2592, loss = 0.94
time = 2.01, epoch = 3, iter = 2624, loss = 0.91
time = 1.97, epoch = 3, iter = 2656, loss = 0.88
time = 1.96, epoch = 3, iter = 2688, loss = 0.88
time = 2.02, epoch = 3, iter = 2720, loss = 0.94
time = 2.06, epoch = 3, iter = 2752, loss = 0.89
time = 2.00, epoch = 3, iter = 2784, loss = 0.94
time = 2.07, epoch = 3, iter = 2816, loss = 0.90
time = 2.06, epoch = 3, iter = 2848, loss = 0.92
time = 2.11, epoch = 3, iter = 2880, loss = 0.90
time = 2.05, epoch = 3, iter = 2912, loss = 0.93
time = 2.06, epoch = 3, iter = 2944, loss = 0.94
time = 2.10, epoch = 3, iter = 2976, loss = 0.90
time = 2.10, epoch = 3, iter = 3008, loss = 0.85
time = 2.01, epoch = 3, iter = 3040, loss = 0.92
time = 1.98, epoch = 3, iter = 3072, loss = 0.90
time = 2.10, epoch = 3, iter = 3104, loss = 0.91
time = 2.04, epoch = 3, iter = 3136, loss = 0.90
time = 2.10, epoch = 3, iter = 3168, loss = 0.87
time = 1.98, epoch = 3, iter = 3200, loss = 0.91
time = 2.05, epoch = 3, iter = 3232, loss = 0.92
time = 2.05, epoch = 3, iter = 3264, loss = 0.88
time = 1.99, epoch = 3, iter = 3296, loss = 0.89
time = 2.04, epoch = 3, iter = 3328, loss = 0.91
time = 2.09, epoch = 3, iter = 3360, loss = 0.86
time = 2.13, epoch = 3, iter = 3392, loss = 0.88
time = 1.95, epoch = 3, iter = 3424, loss = 0.87
time = 2.08, epoch = 3, iter = 3456, loss = 0.88
time = 1.98, epoch = 3, iter = 3488, loss = 0.89
time = 2.06, epoch = 3, iter = 3520, loss = 0.87
time = 2.09, epoch = 3, iter = 3552, loss = 0.90
time = 2.09, epoch = 3, iter = 3584, loss = 0.93
time = 2.04, epoch = 3, iter = 3616, loss = 0.85
time = 2.01, epoch = 3, iter = 3648, loss = 0.93
time = 2.04, epoch = 3, iter = 3680, loss = 0.86
time = 2.17, epoch = 3, iter = 3712, loss = 0.85
time = 2.04, epoch = 3, iter = 3744, loss = 0.86
time = 2.05, epoch = 3, iter = 3776, loss = 0.86
time = 1.98, epoch = 3, iter = 3808, loss = 0.85
time = 2.01, epoch = 3, iter = 3840, loss = 0.87
time = 1.97, epoch = 3, iter = 3872, loss = 0.88
time = 2.06, epoch = 3, iter = 3904, loss = 0.85
time = 2.07, epoch = 3, iter = 3936, loss = 0.91
time = 2.05, epoch = 3, iter = 3968, loss = 0.91
time = 2.07, epoch = 3, iter = 4000, loss = 0.88
time = 1.95, epoch = 3, iter = 4032, loss = 0.84
time = 2.01, epoch = 3, iter = 4064, loss = 0.87
time = 1.95, epoch = 3, iter = 4096, loss = 0.89
time = 1.98, epoch = 3, iter = 4128, loss = 0.83
time = 2.01, epoch = 3, iter = 4160, loss = 0.89
time = 2.06, epoch = 3, iter = 4192, loss = 0.91
time = 2.06, epoch = 3, iter = 4224, loss = 0.88
time = 1.99, epoch = 3, iter = 4256, loss = 0.91
time = 2.03, epoch = 3, iter = 4288, loss = 0.87
time = 1.97, epoch = 3, iter = 4320, loss = 0.81
time = 1.95, epoch = 3, iter = 4352, loss = 0.89
time = 2.09, epoch = 3, iter = 4384, loss = 0.90
time = 2.01, epoch = 3, iter = 4416, loss = 0.85
time = 1.98, epoch = 3, iter = 4448, loss = 0.85
time = 2.10, epoch = 3, iter = 4480, loss = 0.88
time = 2.01, epoch = 3, iter = 4512, loss = 0.88
time = 1.96, epoch = 3, iter = 4544, loss = 0.87
time = 2.06, epoch = 3, iter = 4576, loss = 0.82
time = 2.05, epoch = 3, iter = 4608, loss = 0.92
time = 2.25, epoch = 3, iter = 4640, loss = 0.89
time = 2.08, epoch = 3, iter = 4672, loss = 0.86
time = 2.05, epoch = 3, iter = 4704, loss = 0.85
time = 2.04, epoch = 3, iter = 4736, loss = 0.85
time = 1.98, epoch = 3, iter = 4768, loss = 0.85
time = 1.97, epoch = 3, iter = 4800, loss = 0.83
time = 2.13, epoch = 3, iter = 4832, loss = 0.86
time = 2.62, epoch = 4, iter = 32, loss = 0.86
time = 2.00, epoch = 4, iter = 64, loss = 0.80
time = 1.90, epoch = 4, iter = 96, loss = 0.82
time = 2.03, epoch = 4, iter = 128, loss = 0.83
time = 1.97, epoch = 4, iter = 160, loss = 0.80
time = 2.02, epoch = 4, iter = 192, loss = 0.84
time = 1.92, epoch = 4, iter = 224, loss = 0.79
time = 1.98, epoch = 4, iter = 256, loss = 0.80
time = 1.91, epoch = 4, iter = 288, loss = 0.76
time = 1.90, epoch = 4, iter = 320, loss = 0.84
time = 1.92, epoch = 4, iter = 352, loss = 0.78
time = 1.96, epoch = 4, iter = 384, loss = 0.81
time = 2.05, epoch = 4, iter = 416, loss = 0.83
time = 2.10, epoch = 4, iter = 448, loss = 0.79
time = 1.99, epoch = 4, iter = 480, loss = 0.83
time = 1.88, epoch = 4, iter = 512, loss = 0.80
time = 2.12, epoch = 4, iter = 544, loss = 0.79
time = 1.96, epoch = 4, iter = 576, loss = 0.80
time = 1.95, epoch = 4, iter = 608, loss = 0.85
time = 2.13, epoch = 4, iter = 640, loss = 0.85
time = 1.92, epoch = 4, iter = 672, loss = 0.76
time = 1.98, epoch = 4, iter = 704, loss = 0.85
time = 2.12, epoch = 4, iter = 736, loss = 0.82
time = 1.97, epoch = 4, iter = 768, loss = 0.84
time = 1.98, epoch = 4, iter = 800, loss = 0.79
time = 2.01, epoch = 4, iter = 832, loss = 0.83
time = 1.90, epoch = 4, iter = 864, loss = 0.81
time = 2.01, epoch = 4, iter = 896, loss = 0.80
time = 2.07, epoch = 4, iter = 928, loss = 0.83
time = 2.03, epoch = 4, iter = 960, loss = 0.85
time = 2.05, epoch = 4, iter = 992, loss = 0.81
time = 1.99, epoch = 4, iter = 1024, loss = 0.81
time = 1.90, epoch = 4, iter = 1056, loss = 0.79
